No,Group,No1,No2,No3,No4,No5,No6
1,1,0,0,1,7,9,8
2,1,0,0,2,9,4,7
3,1,0,0,5,3,8,1
4,1,0,0,8,6,8,9
5,1,0,1,1,5,6,9
6,1,0,1,7,9,1,3
7,1,0,1,8,9,4,0
8,1,0,2,0,1,5,4
9,1,0,2,7,1,8,9
10,1,0,2,9,5,2,8
11,1,0,2,9,5,3,3
12,1,0,3,0,0,1,9
13,1,0,3,0,2,7,6
14,1,0,3,1,7,0,8
15,1,0,3,3,6,5,6
16,1,0,3,4,7,1,5
17,1,0,3,6,6,5,4
18,1,0,3,8,8,3,1
19,1,0,4,0,0,1,0
20,1,0,4,0,5,5,6
21,1,0,4,3,0,7,8
22,1,0,4,5,2,0,3
23,1,0,5,1,3,3,5
24,1,0,5,5,3,5,4
25,1,0,5,5,8,4,3
26,1,0,5,5,9,8,3
27,1,0,5,6,5,6,0
28,1,0,5,7,4,7,3
29,1,0,6,2,9,5,1
30,1,0,6,5,5,2,3
31,1,0,6,9,4,1,8
32,1,0,6,9,9,5,6
33,1,0,7,1,2,8,2
34,1,0,7,1,3,3,0
35,1,0,7,4,0,5,3
36,1,0,7,5,3,0,7
37,1,0,7,6,0,8,9
38,1,0,7,6,1,4,6
39,1,0,7,6,2,6,5
40,1,0,7,8,3,6,1
41,1,0,7,9,7,9,8
42,1,0,8,2,4,2,5
43,1,0,8,2,9,9,2
44,1,0,8,7,1,4,4
45,1,0,8,8,3,8,1
46,1,0,9,2,9,6,1
47,1,0,9,3,5,3,7
48,1,0,9,5,8,5,2
49,1,1,0,1,3,4,4
50,1,1,0,4,5,5,1
51,1,1,0,5,4,2,5
52,1,1,0,7,4,5,0
53,1,1,0,8,0,5,0
54,1,1,1,2,7,8,5
55,1,1,1,7,0,2,2
56,1,1,2,0,3,7,0
57,1,1,2,0,5,9,2
58,1,1,2,1,8,4,1
59,1,1,2,2,2,8,8
60,1,1,2,3,5,8,2
61,1,1,2,4,1,7,9
62,1,1,2,4,3,7,3
63,1,1,2,4,5,7,3
64,1,1,2,5,8,9,4
65,1,1,2,6,4,0,9
66,1,1,2,6,5,0,3
67,1,1,3,0,1,6,8
68,1,1,3,0,6,9,7
69,1,1,3,1,4,3,9
70,1,1,3,4,3,7,3
71,1,1,3,6,1,9,4
72,1,1,3,7,8,7,4
73,1,1,3,9,2,7,7
74,1,1,4,7,9,6,5
75,1,1,4,9,4,7,7
76,1,1,5,9,6,5,9
77,1,1,6,1,7,3,3
78,1,1,6,5,3,1,8
79,1,1,6,5,4,1,7
80,1,1,6,7,3,2,0
81,1,1,6,9,7,2,3
82,1,1,6,9,9,9,4
83,1,1,8,0,1,6,3
84,1,1,8,3,3,5,4
85,1,1,8,4,1,5,4
86,1,1,8,9,5,2,8
87,1,1,9,0,5,3,9
88,1,1,9,5,6,3,1
89,1,1,9,6,1,6,0
90,1,1,9,6,6,3,1
91,1,2,0,0,4,9,3
92,1,2,0,1,5,6,1
93,1,2,0,4,3,3,1
94,1,2,0,7,5,3,5
95,1,2,1,4,2,8,0
96,1,2,1,4,4,4,5
97,1,2,1,7,2,4,3
98,1,2,2,0,3,4,7
99,1,2,2,7,2,7,5
100,1,2,2,9,6,8,1
101,1,2,3,0,1,5,8
102,1,2,3,2,2,0,9
103,1,2,3,2,8,5,7
104,1,2,3,3,0,3,5
105,1,2,3,3,4,5,1
106,1,2,3,3,4,7,0
107,1,2,3,4,9,3,2
108,1,2,4,1,1,0,5
109,1,2,4,1,8,1,1
110,1,2,4,8,4,7,4
111,1,2,5,1,7,9,7
112,1,2,5,2,1,0,3
113,1,2,5,2,3,3,0
114,1,2,5,3,5,8,5
115,1,2,5,4,4,3,5
116,1,2,5,6,4,9,2
117,1,2,5,8,4,4,5
118,1,2,6,0,3,3,3
119,1,2,6,1,5,0,1
120,1,2,6,2,1,2,6
121,1,2,6,3,1,6,7
122,1,2,6,5,9,8,5
123,1,2,6,6,5,5,4
124,1,2,6,7,0,2,9
125,1,2,7,1,6,5,7
126,1,2,7,3,4,7,5
127,1,2,7,4,2,3,7
128,1,2,7,5,8,1,5
129,1,2,7,6,6,5,4
130,1,2,8,6,7,6,7
131,1,2,8,6,9,1,2
132,1,2,9,0,9,5,3
133,1,2,9,1,4,0,1
134,1,2,9,9,5,0,0
135,1,2,9,9,6,9,4
136,1,3,0,0,4,0,0
137,1,3,0,1,4,5,0
138,1,3,0,4,7,2,3
139,1,3,0,4,9,9,7
140,1,3,0,8,8,2,7
141,1,3,0,9,9,3,0
142,1,3,1,1,0,1,3
143,1,3,1,3,9,4,8
144,1,3,2,0,2,6,3
145,1,3,2,2,4,2,6
146,1,3,2,9,4,3,6
147,1,3,3,1,3,4,9
148,1,3,3,6,6,3,8
149,1,3,3,9,1,6,4
150,1,3,4,9,5,1,7
151,1,3,5,0,8,3,9
152,1,3,5,7,8,9,0
