No,Group,No1,No2,No3,No4,No5,No6
1,1,0,0,0,3,3,1
2,1,0,0,0,5,5,8
3,1,0,0,4,3,7,3
4,1,0,0,8,6,6,5
5,1,0,1,3,8,7,9
6,1,0,1,4,6,4,5
7,1,0,1,8,2,8,1
8,1,0,2,4,5,7,2
9,1,0,2,5,1,2,2
10,1,0,3,0,1,5,0
11,1,0,3,1,4,2,1
12,1,0,4,0,7,3,8
13,1,0,4,2,2,1,8
14,1,0,5,2,0,9,0
15,1,0,5,2,4,6,4
16,1,0,5,2,9,8,2
17,1,0,5,8,5,3,8
18,1,0,6,6,9,9,9
19,1,0,6,7,2,4,0
20,1,0,6,8,0,0,7
21,1,0,7,3,0,8,0
22,1,0,7,3,9,8,5
23,1,0,7,5,1,9,3
24,1,0,7,6,0,8,6
25,1,0,7,6,3,4,7
26,1,0,7,6,5,5,8
27,1,0,7,7,8,1,4
28,1,0,7,8,2,5,8
29,1,0,7,8,3,4,2
30,1,0,7,8,7,3,2
31,1,0,7,8,7,9,3
32,1,0,8,0,4,4,1
33,1,0,8,0,5,0,0
34,1,0,8,4,7,9,9
35,1,0,8,4,9,6,1
36,1,0,8,5,0,7,9
37,1,0,8,7,3,4,2
38,1,0,9,0,6,7,1
39,1,0,9,1,7,0,3
40,1,0,9,4,3,4,8
41,1,0,9,7,9,3,6
42,1,0,9,8,1,4,4
43,1,1,0,2,3,8,8
44,1,1,0,2,6,5,1
45,1,1,0,4,0,3,6
46,1,1,0,8,4,5,1
47,1,1,1,2,5,9,1
48,1,1,1,4,8,7,1
49,1,1,2,1,3,6,8
50,1,1,2,4,0,0,5
51,1,1,2,5,9,9,3
52,1,1,2,8,8,2,4
53,1,1,3,2,0,8,0
54,1,1,3,2,2,6,5
55,1,1,3,3,4,6,5
56,1,1,3,5,2,5,5
57,1,1,3,8,2,8,3
58,1,1,4,0,3,0,9
59,1,1,4,1,6,7,4
60,1,1,4,2,0,9,2
61,1,1,4,2,9,3,9
62,1,1,4,4,7,6,6
63,1,1,4,8,3,3,2
64,1,1,5,4,9,4,2
65,1,1,5,5,6,2,8
66,1,1,5,7,7,1,4
67,1,1,5,8,2,8,0
68,1,1,5,8,3,1,4
69,1,1,6,4,5,1,2
70,1,1,6,4,9,3,5
71,1,1,6,7,0,7,1
72,1,1,6,8,4,0,5
73,1,1,6,8,5,2,7
74,1,1,7,4,1,3,2
75,1,1,7,7,6,6,0
76,1,1,7,7,8,7,0
77,1,1,8,2,6,0,4
78,1,1,8,3,6,7,3
79,1,1,8,7,3,2,1
80,1,1,8,7,9,6,1
81,1,1,9,3,4,5,5
82,1,1,9,6,9,3,5
83,1,2,0,1,3,7,9
84,1,2,0,2,0,9,9
85,1,2,0,9,7,2,3
86,1,2,1,1,6,9,0
87,1,2,1,2,8,6,6
88,1,2,1,2,9,7,6
89,1,2,1,3,6,4,5
90,1,2,1,9,4,6,3
91,1,2,2,0,8,9,6
92,1,2,2,5,1,0,8
93,1,2,2,6,1,5,7
94,1,2,2,6,9,1,0
95,1,2,2,7,2,8,7
96,1,2,2,7,3,4,4
97,1,2,2,9,0,8,3
98,1,2,3,1,7,2,8
99,1,2,3,4,7,2,0
100,1,2,3,5,8,3,3
101,1,2,4,2,3,4,5
102,1,2,4,3,4,9,2
103,1,2,4,3,6,5,1
104,1,2,4,6,3,3,6
105,1,2,4,7,7,1,2
106,1,2,5,3,3,5,2
107,1,2,5,5,8,4,4
108,1,2,6,0,2,3,9
109,1,2,6,2,0,9,0
110,1,2,6,2,3,6,5
111,1,2,6,3,6,4,4
112,1,2,6,3,7,2,3
113,1,2,6,7,5,5,7
114,1,2,6,9,0,5,2
115,1,2,7,1,3,4,4
116,1,2,7,2,6,8,1
117,1,2,7,2,9,5,3
118,1,2,7,8,8,4,2
119,1,2,8,2,1,1,4
120,1,2,8,4,1,7,3
121,1,2,8,4,6,8,3
122,1,2,8,6,4,1,5
123,1,2,8,6,4,7,0
124,1,2,9,0,5,6,7
125,1,2,9,1,3,9,7
126,1,2,9,7,4,2,6
127,1,3,0,0,1,5,6
128,1,3,0,3,8,1,9
129,1,3,0,4,9,8,0
130,1,3,0,5,5,4,6
131,1,3,0,5,9,0,0
132,1,3,0,7,3,7,2
133,1,3,0,9,4,8,5
134,1,3,1,0,9,1,2
135,1,3,1,8,7,6,8
136,1,3,2,1,9,0,3
137,1,3,2,3,2,0,6
138,1,3,2,5,3,0,7
139,1,3,2,7,6,3,1
140,1,3,2,8,6,5,1
141,1,3,3,1,8,7,6
142,1,3,3,3,0,1,4
143,1,3,3,5,6,5,0
144,1,3,3,6,1,7,8
145,1,3,3,6,3,4,0
146,1,3,3,8,0,0,0
147,1,3,5,3,8,1,3
148,1,3,5,6,6,1,4
149,1,3,5,9,8,7,2
150,1,3,6,1,5,9,9
151,1,3,6,2,4,1,9
152,1,3,6,3,6,0,5
153,1,3,6,4,0,8,2
154,1,3,6,4,2,7,5
155,1,3,6,5,4,0,7
156,1,3,8,0,6,7,1
157,1,3,8,1,9,2,9
158,1,3,8,2,0,4,8
159,1,3,8,5,7,6,9
160,1,3,8,6,7,5,6
161,1,3,8,9,3,3,2
162,1,3,9,3,0,2,2
163,1,3,9,3,2,8,3
164,1,3,9,3,8,3,5
165,1,3,9,6,9,4,7
166,1,3,9,7,4,4,8
167,1,4,0,0,7,1,5
168,1,4,0,1,3,2,6
169,1,4,1,4,0,2,4
170,1,4,1,4,5,6,1
171,1,4,1,8,0,2,0
172,1,4,1,9,3,4,6
173,1,4,2,0,3,4,6
174,1,4,2,1,9,1,6
175,1,4,2,2,1,0,5
176,1,4,2,2,7,4,1
177,1,4,2,4,6,0,5
178,1,4,2,5,1,9,4
179,1,4,2,7,1,7,5
180,1,4,2,7,6,2,3
181,1,4,3,5,3,5,3
182,1,4,3,8,5,8,0
183,1,4,3,9,5,0,7
184,1,4,4,3,3,0,0
185,1,4,4,4,0,7,8
186,1,4,4,5,7,0,7
187,1,4,4,6,4,7,9
188,1,4,5,8,1,9,9
189,1,4,6,0,8,5,9
190,1,4,6,4,9,5,7
191,1,4,6,5,1,6,7
192,1,4,6,5,5,1,0
193,1,4,7,1,2,8,6
194,1,4,7,1,5,3,8
195,1,4,7,4,9,9,1
196,1,4,8,1,3,4,7
197,1,4,8,1,9,0,5
198,1,4,8,2,3,4,3
199,1,4,8,8,7,4,2
200,1,4,9,1,6,8,1
201,1,4,9,4,3,4,9
202,1,4,9,7,7,9,9
203,1,4,9,8,2,2,0
204,1,4,9,9,6,7,2
205,1,5,0,0,2,7,4
206,1,5,0,2,3,3,0
207,1,5,0,4,0,1,5
208,1,5,0,4,0,3,8
209,1,5,0,6,7,7,8
210,1,5,1,2,2,0,6
211,1,5,1,4,6,1,4
212,1,5,1,5,5,7,6
213,1,5,1,9,6,1,1
214,1,5,2,3,3,2,8
215,1,5,2,9,5,8,5
216,1,5,3,3,4,7,7
217,1,5,3,4,0,4,6
218,1,5,3,7,0,6,6
219,1,5,3,7,1,6,0
220,1,5,3,9,1,6,2
221,1,5,4,4,3,2,6
222,1,5,5,0,5,5,2
223,1,5,5,4,2,3,7
224,1,5,5,6,3,4,0
225,1,5,5,9,5,8,7
226,1,5,6,2,8,2,2
227,1,5,6,6,5,6,4
228,1,5,7,2,2,6,2
229,1,5,7,4,5,0,6
230,1,5,7,7,2,0,3
231,1,5,8,6,7,8,8
232,1,5,9,1,4,0,1
233,1,5,9,4,5,5,3
234,1,5,9,7,1,3,6
235,1,5,9,8,1,3,6
236,1,6,0,0,7,7,8
237,1,6,0,1,3,1,1
238,1,6,0,8,6,1,8
239,1,6,1,0,2,4,8
240,1,6,1,0,6,7,1
241,1,6,1,0,9,2,5
242,1,6,1,7,8,4,9
243,1,6,2,0,6,4,9
244,1,6,2,5,0,6,3
245,1,6,2,6,3,2,0
246,1,6,2,9,3,5,5
247,1,6,3,1,7,6,0
248,1,6,3,2,5,7,7
249,1,6,3,2,7,8,6
250,1,6,3,3,5,0,9
251,1,6,3,4,3,7,9
252,1,6,3,9,1,2,7
253,1,6,4,0,4,9,6
254,1,6,4,1,0,9,0
255,1,6,4,1,1,0,3
256,1,6,4,3,7,4,2
257,1,6,4,6,9,7,5
258,1,6,5,0,9,9,0
259,1,6,5,6,9,8,2
260,1,6,5,9,7,6,1
261,1,6,6,0,3,6,9
262,1,6,6,2,5,0,2
263,1,6,6,3,4,2,0
264,1,6,6,6,0,5,2
265,1,6,6,9,2,0,3
266,1,6,6,9,9,2,7
267,1,6,7,1,5,2,6
268,1,6,7,2,5,3,4
269,1,6,7,4,8,2,5
270,1,6,7,8,7,2,5
271,1,6,7,9,4,0,1
272,1,6,8,4,4,1,2
273,1,6,8,4,4,5,9
274,1,6,8,9,3,1,5
275,1,6,9,1,0,0,4
276,1,6,9,3,8,4,5
277,1,6,9,7,0,2,8
278,1,7,0,0,7,3,9
279,1,7,0,2,3,6,8
280,1,7,0,2,6,7,6
281,1,7,0,2,6,8,8
282,1,7,1,2,0,5,4
283,1,7,1,2,8,1,6
284,1,7,1,4,3,1,1
285,1,7,1,7,3,6,6
286,1,7,1,9,8,1,3
287,1,7,2,6,0,6,1
288,1,7,2,7,1,9,6
289,1,7,2,7,8,9,6
290,1,7,3,0,6,1,0
291,1,7,3,2,3,8,8
292,1,7,3,4,4,7,2
293,1,7,3,9,2,5,8
294,1,7,4,0,3,8,5
295,1,7,4,1,4,6,0
296,1,7,4,3,6,4,1
297,1,7,4,4,5,8,8
298,1,7,4,6,4,0,9
299,1,7,4,9,3,6,8
300,1,7,4,9,8,4,8
301,1,7,5,2,3,8,6
302,1,7,5,9,9,9,2
303,1,7,6,0,6,8,1
