No,No1,No2,No3,No4,No5,No6
1,1,2,3,8,25,43
2,1,2,3,32,35,45
3,1,2,4,12,13,31
4,1,2,5,18,28,36
5,1,2,6,27,30,45
6,1,2,7,13,14,44
7,1,2,7,15,28,33
8,1,2,7,16,27,31
9,1,2,7,17,22,24
10,1,2,8,13,33,36
11,1,2,8,17,31,36
12,1,2,9,11,35,40
13,1,2,9,14,15,26
14,1,2,10,19,27,28
15,1,2,12,13,23,36
16,1,2,12,27,36,40
17,1,2,13,15,23,27
18,1,2,14,17,22,25
19,1,2,14,25,29,35
20,1,2,16,26,38,40
21,1,2,16,27,40,41
22,1,2,17,18,21,31
23,1,2,18,19,29,44
24,1,2,18,23,25,27
25,1,2,19,23,24,33
26,1,2,20,29,36,41
27,1,2,22,24,32,36
28,1,2,22,25,41,42
29,1,2,27,35,39,41
30,1,2,27,36,38,40
31,1,2,31,32,35,40
32,1,2,31,32,36,39
33,1,2,34,42,43,44
34,1,3,4,10,16,25
35,1,3,4,13,31,42
36,1,3,4,22,28,40
37,1,3,5,9,14,24
38,1,3,6,8,35,44
39,1,3,6,23,24,44
40,1,3,6,32,35,38
41,1,3,7,12,30,31
42,1,3,7,13,20,28
43,1,3,7,23,33,40
44,1,3,8,12,18,30
45,1,3,8,19,35,42
46,1,3,8,20,29,41
47,1,3,9,10,24,45
48,1,3,9,23,35,36
49,1,3,10,16,21,42
50,1,3,10,25,32,44
51,1,3,11,15,17,26
52,1,3,11,25,38,41
53,1,3,12,31,32,41
54,1,3,13,22,44,45
55,1,3,14,30,36,42
56,1,3,15,20,21,41
57,1,3,15,21,41,42
58,1,3,16,18,30,44
59,1,3,20,28,30,41
60,1,3,22,23,27,33
61,1,3,22,27,37,39
62,1,3,23,24,35,36
63,1,3,23,37,39,42
64,1,3,24,30,36,44
65,1,4,5,37,39,43
66,1,4,6,20,27,42
67,1,4,6,25,28,29
68,1,4,7,12,14,28
69,1,4,7,26,29,40
70,1,4,7,27,31,35
71,1,4,8,14,16,18
72,1,4,8,14,18,42
73,1,4,9,28,42,43
74,1,4,10,11,37,39
75,1,4,10,14,15,43
76,1,4,10,15,25,29
77,1,4,10,16,21,25
78,1,4,10,35,38,40
79,1,4,11,30,31,34
80,1,4,13,14,15,29
81,1,4,13,31,35,44
82,1,4,13,31,37,41
83,1,4,14,25,29,33
84,1,4,14,26,35,43
85,1,4,17,22,27,29
86,1,4,17,24,35,43
87,1,4,18,22,31,33
88,1,4,21,26,35,40
89,1,4,21,27,29,30
90,1,4,23,28,30,37
91,1,5,6,16,19,44
92,1,5,6,16,32,33
93,1,5,6,24,28,43
94,1,5,7,9,22,31
95,1,5,8,10,21,28
96,1,5,9,15,28,45
97,1,5,10,15,33,35
98,1,5,10,17,20,28
99,1,5,11,13,25,28
100,1,5,15,22,27,31
101,1,5,15,24,29,33
102,1,5,16,17,19,37
103,1,5,17,18,37,43
104,1,5,18,19,34,41
105,1,5,18,22,36,39
106,1,5,20,22,39,43
107,1,5,23,30,37,41
108,1,5,23,31,36,43
109,1,5,27,30,35,38
110,1,5,28,34,43,45
111,1,6,7,9,37,44
112,1,6,7,11,17,19
113,1,6,7,19,27,36
114,1,6,8,15,27,36
115,1,6,8,17,44,45
116,1,6,9,16,25,39
117,1,6,9,19,25,42
118,1,6,10,14,37,41
119,1,6,10,27,38,43
120,1,6,11,19,20,36
121,1,6,11,20,41,43
122,1,6,11,21,32,36
123,1,6,11,22,28,36
124,1,6,11,31,32,45
125,1,6,12,26,32,38
126,1,6,17,25,31,41
127,1,6,19,29,30,36
128,1,6,20,23,29,32
129,1,6,24,29,43,44
130,1,6,26,31,32,43
131,1,6,30,31,36,44
132,1,7,8,9,15,28
133,1,7,8,14,16,36
134,1,7,8,17,20,28
135,1,7,8,26,35,42
136,1,7,9,10,25,30
137,1,7,9,16,28,31
138,1,7,9,25,28,38
139,1,7,10,12,21,26
140,1,7,10,14,17,39
141,1,7,10,14,19,28
142,1,7,12,25,38,40
143,1,7,16,20,32,39
144,1,7,17,38,42,45
145,1,7,18,24,33,40
146,1,7,18,26,30,39
147,1,7,20,33,38,40
148,1,7,22,31,35,36
149,1,7,25,31,33,38
150,1,7,29,32,39,41
151,1,8,9,14,34,41
152,1,8,10,14,23,24
153,1,8,10,23,39,41
154,1,8,11,13,30,44
155,1,8,12,22,27,41
156,1,8,13,15,29,41
157,1,8,14,22,28,40
158,1,8,15,20,33,37
159,1,8,15,21,22,35
160,1,8,15,27,39,43
161,1,8,20,21,24,27
162,1,8,24,33,36,40
163,1,8,27,29,38,40
164,1,9,10,28,31,41
165,1,9,13,17,22,24
166,1,9,13,28,36,43
167,1,9,13,30,42,43
168,1,9,14,18,21,36
169,1,9,16,17,31,37
170,1,9,18,28,29,41
171,1,9,19,23,32,45
172,1,9,26,38,42,45
173,1,9,27,33,35,36
174,1,9,28,32,38,39
175,1,10,11,12,17,23
176,1,10,12,15,28,44
177,1,10,12,16,32,41
178,1,10,12,26,28,33
179,1,10,13,28,30,44
180,1,10,13,30,37,41
181,1,10,14,17,21,41
182,1,10,14,31,32,44
183,1,10,15,22,24,27
184,1,10,17,22,38,39
