No,No1,No2,No3,No4,No5,No6
1,3,9,26,36,42,43
2,8,18,23,26,38,44
3,3,10,14,19,32,37
4,12,22,25,35,36,41
5,6,10,19,20,30,40
6,16,21,23,33,35,37
7,2,8,14,19,22,43
8,1,13,16,19,29,42
9,2,7,12,29,36,37
10,18,29,30,40,44,45
11,11,32,33,34,40,44
12,15,17,33,38,43,45
13,1,14,21,36,37,42
14,3,11,12,37,39,43
15,10,19,28,39,41,44
16,6,18,26,36,39,43
17,2,10,29,33,36,45
18,8,23,25,28,29,39
19,13,19,24,26,35,39
20,11,21,22,29,35,40
21,8,20,21,23,44,45
22,23,31,32,33,37,44
23,3,5,28,32,35,39
24,8,17,25,27,32,34
25,4,19,23,25,31,44
26,5,12,22,24,31,37
27,9,11,20,24,25,45
28,4,12,22,23,34,41
29,7,19,24,27,43,45
30,2,15,26,28,37,39
31,3,12,16,21,28,45
32,20,21,24,33,36,39
33,6,17,20,26,36,40
34,11,12,13,16,23,36
35,8,13,17,23,33,34
36,5,7,19,24,26,35
37,1,18,28,33,36,39
38,25,30,31,32,37,43
39,12,16,30,35,36,45
40,5,11,24,29,38,39
41,1,3,16,27,28,44
42,20,23,25,32,34,39
43,7,17,31,32,43,44
44,1,5,28,29,33,42
45,4,6,9,18,24,27
46,1,6,13,14,36,42
47,2,14,15,23,24,36
48,7,9,11,19,34,45
49,4,14,28,37,39,42
50,3,17,18,23,44,45
51,6,9,21,27,32,35
52,8,20,24,33,37,39
53,5,13,17,20,25,41
54,13,16,17,23,31,40
55,11,30,34,36,38,44
56,1,4,10,23,34,39
57,2,11,20,23,27,28
58,4,17,30,32,41,43
59,10,17,23,33,38,44
60,21,24,28,35,41,42
61,2,10,13,23,26,44
62,7,12,22,31,39,44
63,16,18,27,30,38,39
64,12,17,31,32,38,43
65,3,11,13,26,37,44
66,10,13,22,28,29,40
67,1,9,28,31,38,43
68,24,25,29,32,35,38
69,2,13,23,30,34,35
70,5,11,23,27,30,35
71,9,10,34,35,42,45
72,21,25,29,31,32,42
73,1,5,6,24,28,29
74,6,16,24,25,34,40
75,3,9,16,28,37,41
76,9,17,23,28,30,34
77,15,16,23,27,28,35
78,2,8,17,24,29,35
79,1,5,10,17,27,31
80,2,6,7,42,44,45
81,9,11,13,28,38,45
82,18,31,32,34,40,41
83,4,16,26,28,40,43
